molecule_chembl_id,canonical_smiles,standard_value,standard_value_norm,pIC50
CHEMBL1084090,CCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4cccnc4oc3c2)c1,42.0,42.0,7.376750709591759
CHEMBL340625,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccc(=O)oc3c2)c1,5.7,5.7,8.244125144251317
CHEMBL128551,CCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccc(=O)oc3c2)c1,14.0,14.0,7.853871964290741
CHEMBL1084883,CCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccc(=O)oc3c2)c1,13.0,13.0,7.886056647659756
CHEMBL128618,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)ccoc3c2)c1,8.9,8.9,8.05060999330629
CHEMBL1084091,CCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)ccoc3c2)c1,250.0,250.0,6.602059991326225
CHEMBL1085129,CCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)ccoc3c2)c1,21.0,21.0,7.6777807052454
CHEMBL128471,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)cc(-c4ccccc4)oc3c2)c1,5.7,5.7,8.244125144251317
CHEMBL128043,CCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)cc(-c4ccccc4)oc3c2)c1,31.0,31.0,7.508638306151718
CHEMBL1084366,CCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)cc(-c4ccccc4)oc3c2)c1,68.0,68.0,7.167491087287377
CHEMBL128202,CCN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NC)c1,0.56,0.56,9.251811972218274
CHEMBL339039,CCCCNC(=O)Oc1cccc(CN(CC)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,8.6,8.6,8.065501548705933
CHEMBL1082419,CCCCCCNC(=O)Oc1cccc(CN(CC)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,160.0,160.0,6.795880017341361
CHEMBL131219,CCCN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NC)c1,4.0,4.0,8.397940008563465
CHEMBL128452,CCCCNC(=O)Oc1cccc(CN(CCC)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,70.0,70.0,7.154901959979539
CHEMBL1083976,CCCCCCNC(=O)Oc1cccc(CN(CCC)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,400.0,400.0,6.397940008670952
CHEMBL131579,CNC(=O)Oc1cccc(CN(CCCOc2ccc3c(=O)c4ccccc4oc3c2)C(C)C)c1,0.7,0.7,9.154901959365322
CHEMBL131411,CCCCNC(=O)Oc1cccc(CN(CCCOc2ccc3c(=O)c4ccccc4oc3c2)C(C)C)c1,100.0,100.0,6.999999999995657
CHEMBL1083977,CCCCCCNC(=O)Oc1cccc(CN(CCCOc2ccc3c(=O)c4ccccc4oc3c2)C(C)C)c1,170.0,170.0,6.7695510786191715
CHEMBL151417,c1ccc(-c2ccc(NCCN3CCOCC3)nn2)cc1,1000000.0,1000000.0,2.9999999999999996
CHEMBL281588,c1ccc(-c2ccc(NCCN3CCCCC3)nn2)cc1,13000.0,13000.0,4.88605664769313
CHEMBL278819,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,85000.0,85000.0,4.070581074285702
CHEMBL1085019,Cc1cc(-c2ccccc2)nnc1NCCN1CCCCC1,5400.0,5400.0,5.267606240176951
CHEMBL150985,Cc1cc(-c2ccc(Cl)cc2)nnc1NCCN1CCOCC1,34000.0,34000.0,4.468521082957732
CHEMBL1085020,Cc1cc(-c2ccc(Cl)cc2)nnc1NCCN1CCCCC1,1300.0,1300.0,5.886056647692829
